id;cityId;stateId
1;0;10
2;0;0
3;1;9
4;2;0
5;3;6
6;4;15
7;5;13
8;6;3
9;7;13
10;8;13
11;9;1
12;10;12
13;11;1
14;12;10
15;13;1
16;14;1
17;15;0
18;16;13
19;17;16
20;18;13
21;19;0
22;20;6
23;21;1
24;22;10
25;23;0
26;24;1
27;25;0
28;26;8
29;27;1
30;28;0
31;29;10
32;30;10
33;31;10
34;32;15
35;33;15
36;34;13
37;35;3
38;36;7
39;37;15
40;38;0
41;39;8
42;40;16
43;41;8
44;42;0
45;43;1
46;44;12
47;44;1
48;45;0
49;46;1
50;47;1
51;48;1
52;49;10
53;50;10
54;51;8
55;52;8
56;53;8
57;54;13
58;55;0
59;56;1
60;57;1
61;58;7
62;59;12
63;60;15
64;61;8
65;62;0
66;63;1
67;64;8
68;65;10
69;66;10
70;67;8
71;68;15
72;69;0
73;70;1
74;71;9
75;72;8
76;73;7
77;74;8
78;75;15
79;76;9
80;77;8
81;78;3
82;78;13
83;79;16
84;80;13
85;81;6
86;82;15
87;83;8
88;84;8
89;85;1
90;86;1
91;87;0
92;87;1
93;88;1
94;89;1
95;90;10
96;92;15
97;91;15
98;93;3
99;94;3
100;95;7
101;96;15
102;97;15
103;98;15
104;99;15
105;100;1
106;101;1
107;102;1
108;103;1
109;104;0
110;105;1
111;106;0
112;107;0
113;108;0
114;109;0
115;110;1
116;111;1
117;112;1
118;113;0
119;114;1
120;115;10
121;116;1
122;117;1
123;118;1
124;119;1
125;120;0
126;121;1
127;122;0
128;123;1
129;124;12
130;125;13
131;126;16
132;127;1
133;128;0
134;129;1
135;130;16
136;130;15
137;131;0
138;132;13
139;133;13
140;134;10
141;135;10
142;136;3
143;136;7
144;137;1
145;138;10
146;139;10
147;140;10
148;141;16
149;142;3
150;143;15
151;144;0
152;145;9
153;146;1
154;147;0
155;148;1
156;149;1
157;150;1
158;151;10
159;152;0
160;153;8
161;153;1
162;154;8
163;155;10
164;156;8
165;157;9
166;158;13
167;159;8
168;160;1
169;161;8
170;162;0
171;163;6
172;164;13
173;165;10
174;166;16
175;167;15
176;168;10
177;169;16
178;169;6
179;169;10
180;170;10
181;171;0
182;172;13
183;173;1
184;174;16
185;175;1
186;176;0
187;177;1
188;178;1
189;179;0
190;180;0
191;181;16
192;182;0
193;183;3
194;184;13
195;185;13
196;186;15
197;187;10
198;188;1
199;189;8
200;190;9
201;191;10
202;192;16
203;193;0
204;194;10
205;195;10
206;196;6
207;197;9
208;197;10
209;198;10
210;199;6
211;200;10
212;201;13
213;202;15
214;203;3
215;204;3
216;205;7
217;206;15
218;207;3
219;208;7
220;209;7
221;212;7
222;210;7
223;211;3
224;213;7
225;214;3
226;215;3
227;216;3
228;217;7
229;218;15
230;219;7
231;220;7
232;221;7
233;222;3
234;224;7
235;223;7
236;225;3
237;226;7
238;227;3
239;228;7
240;229;3
241;233;0
242;234;3
243;235;10
244;236;13
245;238;3
246;237;10
247;237;0
248;237;1
249;239;7
250;240;1
251;241;9
252;242;10
253;243;3
254;243;8
255;244;12
256;245;10
257;246;9
258;247;12
259;248;16
260;249;9
261;250;16
262;251;13
263;252;1
264;253;16
265;254;16
266;255;10
267;256;12
268;256;1
269;257;16
270;258;16
271;259;10
272;260;16
273;261;7
274;262;13
275;263;3
276;263;7
277;263;15
278;263;10
279;264;15
280;265;7
281;265;10
282;266;15
283;267;1
284;268;1
285;269;8
286;270;15
287;271;1
288;272;7
289;273;0
290;274;13
291;275;13
292;276;6
293;276;1
294;277;0
295;278;1
296;279;7
297;280;13
298;281;13
299;282;10
300;283;13
301;284;16
302;285;1
303;286;10
304;287;3
305;288;1
306;289;3
307;290;3
308;230;3
309;291;3
310;292;3
311;293;1
312;294;0
313;295;1
314;296;0
315;297;10
316;298;0
317;299;3
318;300;13
319;301;7
320;302;16
321;303;3
322;304;3
323;305;10
324;306;10
325;307;3
326;309;3
327;308;0
328;310;10
329;314;3
330;311;1
331;312;13
332;313;12
333;315;1
334;316;7
335;317;12
336;332;1
337;318;3
338;319;10
339;320;10
340;231;3
341;321;10
342;322;0
343;323;10
344;232;7
345;324;3
346;325;3
347;326;1
348;327;7
349;328;10
350;329;7
351;330;15
352;331;3
353;333;15
354;334;1
355;335;10
356;336;8
357;337;1
358;338;6
359;339;6
360;340;6
361;341;8
362;342;6
363;343;6
364;344;10
365;345;10
366;346;8
367;347;3
368;348;1
369;349;8
370;350;1
371;351;1
372;352;13
373;353;10
374;354;16
375;355;0
376;356;16
377;357;1
378;358;15
379;359;1
380;368;6
381;360;1
382;361;1
383;362;13
384;363;13
385;364;1
386;365;0
387;366;12
388;367;0
389;369;15
390;370;8
391;371;1
392;372;16
393;373;13
394;374;8
395;375;10
396;376;8
397;377;16
398;378;1
399;379;0
400;380;6
401;381;10
402;382;16
403;383;1
404;384;3
405;385;13
406;386;13
407;387;1
408;388;10
409;389;16
410;390;7
411;391;7
412;392;8
413;393;7
414;394;10
415;395;12
416;396;13
417;397;3
418;398;13
419;399;1
420;400;10
421;401;9
422;402;1
423;403;10
424;404;1
425;405;6
426;406;10
427;407;1
428;408;8
429;409;8
430;410;13
431;411;8
432;412;1
433;413;16
434;414;1
435;415;16
436;416;8
437;417;8
438;418;8
439;419;15
440;420;10
441;421;16
442;422;0
443;423;0
444;424;1
445;425;10
446;426;1
447;427;10
448;428;3
449;428;13
450;429;10
451;430;13
452;430;3
453;431;16
454;432;3
455;433;3
456;434;1
457;435;10
458;436;0
459;437;10
460;438;10
461;439;8
462;440;15
463;441;1
464;442;15
465;443;10
466;444;15
467;445;8
468;446;1
469;447;13
470;448;15
471;449;10
472;450;16
473;451;9
474;452;1
475;453;12
476;453;13
477;454;16
478;455;16
479;456;10
480;457;3
481;458;16
482;459;13
483;460;10
484;460;1
485;461;1
486;462;15
487;463;7
488;464;1
489;465;12
490;466;10
491;467;16
492;468;8
493;469;10
494;470;12
495;470;1
496;471;10
497;472;10
498;472;0
499;472;16
500;473;1
501;475;10
502;474;16
503;476;1
504;477;1
505;478;16
506;479;16
507;479;1
508;480;10
509;480;1
510;481;15
511;481;9
512;482;15
513;483;8
514;484;16
515;485;8
516;486;13
517;487;1
518;488;13
519;489;8
520;490;0
521;490;16
522;491;8
523;492;13
524;493;0
525;494;10
526;495;0
527;496;0
528;562;6
529;563;1
530;497;1
531;498;10
532;499;13
533;500;13
534;501;9
535;502;10
536;503;1
537;504;1
538;505;0
539;506;3
540;507;1
541;508;10
542;509;13
543;510;1
544;511;0
545;511;1
546;512;1
547;513;1
548;514;12
549;515;10
550;516;12
551;517;16
552;518;10
553;519;10
554;520;0
555;521;12
556;521;1
557;522;1
558;523;16
559;524;8
560;525;1
561;526;1
562;527;1
563;528;0
564;529;1
565;530;13
566;531;9
567;532;12
568;533;8
569;534;1
570;535;0
571;536;15
572;537;16
573;538;0
574;539;10
575;540;13
576;541;16
577;542;15
578;543;1
579;544;1
580;545;1
581;546;8
582;547;15
583;548;13
584;553;1
585;549;12
586;550;15
587;551;10
588;552;1
589;554;15
590;555;15
591;556;13
592;557;8
593;558;1
594;559;10
595;560;1
596;561;16
597;564;7
598;565;13
599;566;10
600;566;1
601;567;1
602;568;3
603;569;13
604;570;3
605;2010;7
606;571;13
607;572;6
608;572;1
609;573;1
610;574;7
611;575;7
612;576;12
613;576;1
614;577;10
615;578;10
616;579;16
617;580;1
618;2011;1
619;581;1
620;582;0
621;583;1
622;584;1
623;585;1
624;586;6
625;587;1
626;588;8
627;589;0
628;590;8
629;591;10
630;592;16
631;593;9
632;594;1
633;595;10
