id;zipId;cityId;stateId
0;3763;0;10
1;5718;0;0
2;3639;1;9
3;3640;1;9
4;3641;1;9
5;3642;1;9
6;3643;1;9
7;3644;1;9
8;3645;1;9
9;3646;1;9
10;3647;1;9
11;3648;1;9
12;5262;2;0
13;5263;2;0
14;5264;2;0
15;5265;2;0
16;5266;2;0
17;4521;3;6
18;1761;4;15
19;2119;5;13
20;1185;6;3
21;2926;7;13
22;348;8;13
23;7155;9;1
24;46;10;12
25;7494;11;1
26;3956;12;10
27;7544;13;1
28;7292;14;1
29;5350;15;0
30;357;16;13
31;8215;17;16
32;401;18;13
33;5270;19;0
34;4951;20;6
35;7985;21;1
36;3929;22;10
37;6850;23;0
38;6216;24;1
39;5659;25;0
40;2071;26;8
41;2840;26;8
42;7595;27;1
43;6918;28;0
44;4065;29;10
45;3956;30;10
46;4000;31;10
47;1560;32;15
48;1851;33;15
49;2967;34;13
50;967;35;3
51;1037;36;7
52;1820;37;15
53;5220;38;0
54;2730;39;8
55;8152;40;16
56;2096;41;8
57;5279;42;0
58;6401;43;1
59;37;44;12
60;7189;44;1
61;5437;45;0
62;6039;46;1
63;7254;46;1
64;6560;47;1
65;6592;48;1
66;3714;49;10
67;4847;50;10
68;2889;51;8
69;1261;52;8
70;2242;53;8
71;327;54;13
72;2924;54;13
73;5277;55;0
74;6178;56;1
75;6298;57;1
76;1105;58;7
77;558;59;12
78;1765;60;15
79;2347;61;8
80;5045;62;0
81;6549;63;1
82;1971;64;8
83;3864;65;10
84;4020;66;10
85;1321;67;8
86;1761;68;15
87;5451;69;0
88;6299;70;1
89;3439;71;9
90;1988;72;8
91;1064;73;7
92;2183;74;8
93;1657;75;15
94;4215;76;9
95;4216;76;9
96;1323;77;8
97;273;78;3
98;314;78;13
99;8138;79;16
100;2885;80;13
101;2474;81;6
102;1718;82;15
103;2097;83;8
104;2329;84;8
105;7616;85;1
106;7661;86;1
107;5439;87;0
108;7903;87;1
109;7762;88;1
110;6256;89;1
111;3711;90;10
112;1460;92;15
113;1429;91;15
114;901;93;3
115;951;93;3
116;977;94;3
117;1122;95;7
118;1825;96;15
119;1642;97;15
120;1847;98;15
121;1847;99;15
122;7662;100;1
123;6588;101;1
124;6225;102;1
125;6166;103;1
126;5221;104;0
127;6561;105;1
128;5780;106;0
129;6878;107;0
130;5176;108;0
131;5327;109;0
132;6166;110;1
133;7654;111;1
134;8006;112;1
135;5010;113;0
136;6274;114;1
137;4034;115;10
138;6550;116;1
139;6190;117;1
140;7008;118;1
141;7610;119;1
142;5882;120;0
143;6289;121;1
144;6879;122;0
145;6771;123;1
146;593;124;12
147;323;125;13
148;8185;126;16
149;6211;127;1
150;5904;128;0
151;7514;129;1
152;450;130;16
153;1799;130;15
154;5218;131;0
155;309;132;13
156;310;133;13
157;5613;134;10
158;4143;135;10
159;997;136;3
160;1177;136;7
161;7975;137;1
162;4669;138;10
163;3878;139;10
164;4754;140;10
165;8134;141;16
166;1050;142;3
167;1515;143;15
168;5142;144;0
169;5143;144;0
170;5144;144;0
171;3674;145;9
172;7654;146;1
173;5738;147;0
174;6649;148;1
175;7318;149;1
176;6562;150;1
177;4093;151;10
178;5294;152;0
179;2240;153;8
180;7167;153;1
181;3506;154;8
182;4086;155;10
183;1996;156;8
184;3702;157;9
185;2996;158;13
186;2268;159;8
187;6701;160;1
188;2899;161;8
189;5270;162;0
190;2672;163;6
191;2975;164;13
192;4010;165;10
193;8191;166;16
194;1857;167;15
195;3954;168;10
196;429;169;16
197;2549;169;6
198;2592;169;6
199;4023;169;10
200;3939;170;10
201;5734;171;0
202;2967;172;13
203;7111;173;1
204;8161;174;16
205;6452;175;1
206;6899;176;0
207;6033;177;1
208;6637;178;1
209;6882;179;0
210;7058;180;0
211;8215;181;16
212;5048;182;0
213;91;183;3
214;342;184;13
215;347;185;13
216;1815;186;15
217;4141;187;10
218;7514;188;1
219;2242;189;8
220;3313;190;9
221;4152;191;10
222;8189;192;16
223;5110;193;0
224;3720;194;10
225;3984;195;10
226;4477;196;6
227;3676;197;9
228;3859;197;10
229;4123;197;10
230;4867;198;10
231;2688;199;6
232;4795;200;10
233;329;201;13
234;1664;202;15
235;892;203;3
236;875;204;3
237;1108;205;7
238;1644;206;15
239;923;207;3
240;1182;208;7
241;1109;209;7
242;1118;212;7
243;1179;210;7
244;1008;211;3
245;1150;213;7
246;1002;214;3
247;922;215;3
248;909;216;3
249;1161;217;7
250;1510;218;15
251;1198;219;7
252;1528;220;7
253;1039;221;7
254;998;222;3
255;1033;224;7
256;1038;223;7
257;950;225;3
258;1025;226;7
259;913;227;3
260;1172;228;7
261;957;229;3
262;5328;233;0
263;910;234;3
264;5591;235;10
265;2972;236;13
266;171;238;3
267;4785;237;10
268;5015;237;0
269;5182;237;0
270;6259;237;1
271;7098;237;1
272;1148;239;7
273;7449;240;1
274;4197;241;9
275;3710;242;10
276;276;243;3
277;2914;243;8
278;263;244;12
279;3935;245;10
280;2413;246;9
281;62;247;12
282;456;248;16
283;3409;249;9
284;418;250;16
285;2930;251;13
286;8112;252;1
287;230;253;16
288;8138;254;16
289;4567;255;10
290;78;256;12
291;7389;256;1
292;7828;256;1
293;8161;257;16
294;421;258;16
295;4673;259;10
296;8252;260;16
297;1017;261;7
298;1109;261;7
299;2967;262;13
300;964;263;3
301;1036;263;7
302;1579;263;15
303;3850;263;10
304;3854;263;10
305;4816;263;10
306;1549;264;15
307;1145;265;7
308;4141;265;10
309;4678;265;10
310;1474;266;15
311;7874;267;1
312;6172;268;1
313;2157;269;8
314;1721;270;15
315;6551;271;1
316;1133;272;7
317;5183;273;0
318;361;274;13
319;2119;275;13
320;4373;276;6
321;6719;276;1
322;6993;276;1
323;7406;276;1
324;5101;277;0
325;7478;278;1
326;1015;279;7
327;2949;280;13
328;2989;281;13
329;3995;282;10
330;348;283;13
331;8142;284;16
332;7933;285;1
333;3970;286;10
334;896;287;3
335;6300;288;1
336;910;289;3
337;997;290;3
338;969;230;3
339;967;291;3
340;967;292;3
341;6040;293;1
342;6925;294;0
343;6968;294;0
344;7059;294;0
345;7315;295;1
346;5515;296;0
347;4620;297;10
348;5046;298;0
349;965;299;3
350;388;300;13
351;1032;301;7
352;236;302;16
353;969;303;3
354;915;304;3
355;4092;305;10
356;4758;306;10
357;967;307;3
358;993;309;3
359;4905;308;0
360;3809;310;10
361;967;314;3
362;7496;311;1
363;2994;312;13
364;657;313;12
365;6428;315;1
366;1180;316;7
367;238;317;12
368;6351;332;1
369;967;318;3
370;3813;319;10
371;4710;320;10
372;956;231;3
373;3850;321;10
374;6885;322;0
375;4092;323;10
376;1030;232;7
377;995;324;3
378;967;325;3
379;6735;326;1
380;1064;327;7
381;3913;328;10
382;1065;329;7
383;1551;330;15
384;967;331;3
385;1746;333;15
386;4385;334;1
387;3877;335;10
388;1241;336;8
389;6104;337;1
390;2509;338;6
391;4304;339;6
392;4304;340;6
393;1324;341;8
394;4530;342;6
395;2456;343;6
396;4665;344;10
397;5621;345;10
398;2849;346;8
399;991;347;3
400;6676;348;1
401;7329;348;1
402;1269;349;8
403;6136;350;1
404;6650;351;1
405;2978;352;13
406;3861;353;10
407;3862;353;10
408;427;354;16
409;5081;355;0
410;8248;356;16
411;7120;357;1
412;1434;358;15
413;7337;359;1
414;2565;368;6
415;4427;360;1
416;6358;361;1
417;2972;362;13
418;315;363;13
419;6166;364;1
420;5256;365;0
421;620;366;12
422;6870;367;0
423;1819;369;15
424;2770;370;8
425;6060;371;1
426;2710;372;16
427;2923;373;13
428;1998;374;8
429;4054;375;10
430;3541;376;8
431;8187;377;16
432;6178;378;1
433;5463;379;0
434;2628;380;6
435;4760;381;10
436;8195;382;16
437;6196;383;1
438;6225;383;1
439;969;384;3
440;2965;385;13
441;294;386;13
442;6256;387;1
443;4046;388;10
444;2760;389;16
445;1040;390;7
446;1066;391;7
447;3502;392;8
448;1110;393;7
449;4706;394;10
450;621;395;12
451;410;396;13
452;95;397;3
453;312;398;13
454;6181;399;1
455;5612;400;10
456;4246;401;9
457;7241;402;1
458;4065;403;10
459;6068;404;1
460;2693;405;6
461;3716;406;10
462;6500;407;1
463;2287;408;8
464;1923;409;8
465;2884;410;13
466;1312;411;8
467;6720;412;1
468;8188;413;16
469;6803;414;1
470;8205;415;16
471;1253;416;8
472;1253;417;8
473;2015;418;8
474;1744;419;15
475;3906;420;10
476;8224;421;16
477;5418;422;0
478;5640;423;0
479;6186;424;1
480;4077;425;10
481;7293;426;1
482;3716;427;10
483;1050;428;3
484;2993;428;13
485;3813;429;10
486;322;430;13
487;922;430;3
488;2761;431;16
489;894;432;3
490;175;433;3
491;6593;434;1
492;4065;435;10
493;6864;436;0
494;3939;437;10
495;3921;438;10
496;2787;439;8
497;1799;440;15
498;6185;441;1
499;1830;442;15
500;3893;443;10
501;1616;444;15
502;1346;445;8
503;7523;446;1
504;2989;447;13
