id;zipId;cityId;stateId;aglomerationId
0;3763;0;10;1
1;5718;0;0;2
2;3639;1;9;3
3;3640;1;9;3
4;3641;1;9;3
5;3642;1;9;3
6;3643;1;9;3
7;3644;1;9;3
8;3645;1;9;3
9;3646;1;9;3
10;3647;1;9;3
11;3648;1;9;3
12;5262;2;0;4
13;5263;2;0;4
14;5264;2;0;4
15;5265;2;0;4
16;5266;2;0;4
17;4521;3;6;5
18;1761;4;15;6
19;2119;5;13;7
20;1185;6;3;8
21;2926;7;13;9
22;348;8;13;10
23;7155;9;1;11
24;46;10;12;12
25;7494;11;1;13
26;3956;12;10;14
27;7544;13;1;15
28;7292;14;1;16
29;5350;15;0;17
30;357;16;13;18
31;8215;17;16;19
32;401;18;13;20
33;5270;19;0;21
34;4951;20;6;22
35;7985;21;1;23
36;3929;22;10;24
37;6850;23;0;25
38;6216;24;1;26
39;5659;25;0;27
40;2071;26;8;28
41;2840;26;8;28
42;7595;27;1;29
43;6918;28;0;30
44;4065;29;10;31
45;3956;30;10;32
46;4000;31;10;33
47;1560;32;15;34
48;1851;33;15;35
49;2967;34;13;36
50;967;35;3;37
51;1037;36;7;38
52;1820;37;15;39
53;5220;38;0;40
54;2730;39;8;41
55;8152;40;16;42
56;2096;41;8;43
57;5279;42;0;44
58;6401;43;1;45
59;37;44;12;46
60;7189;44;1;47
61;5437;45;0;48
62;6039;46;1;49
63;7254;46;1;49
64;6560;47;1;50
65;6592;48;1;51
66;3714;49;10;52
67;4847;50;10;53
68;2889;51;8;54
69;1261;52;8;55
70;2242;53;8;56
71;327;54;13;57
72;2924;54;13;57
73;5277;55;0;58
74;6178;56;1;59
75;6298;57;1;60
76;1105;58;7;61
77;558;59;12;62
78;1765;60;15;63
79;2347;61;8;64
80;5045;62;0;65
81;6549;63;1;66
82;1971;64;8;67
83;3864;65;10;68
84;4020;66;10;69
85;1321;67;8;70
86;1761;68;15;71
87;5451;69;0;72
88;6299;70;1;73
89;3439;71;9;74
90;1988;72;8;75
91;1064;73;7;76
92;2183;74;8;77
93;1657;75;15;78
94;4215;76;9;79
95;4216;76;9;79
96;1323;77;8;80
97;273;78;3;81
98;314;78;13;82
99;8138;79;16;83
100;2885;80;13;84
101;2474;81;6;85
102;1718;82;15;86
103;2097;83;8;87
104;2329;84;8;88
105;7616;85;1;89
106;7661;86;1;90
107;5439;87;0;91
108;7903;87;1;92
109;7762;88;1;93
110;6256;89;1;94
111;3711;90;10;95
112;1460;92;15;96
113;1429;91;15;97
114;901;93;3;98
115;951;93;3;98
116;977;94;3;99
117;1122;95;7;100
118;1825;96;15;101
119;1642;97;15;102
120;1847;98;15;103
121;1847;99;15;104
122;7662;100;1;105
123;6588;101;1;106
124;6225;102;1;107
125;6166;103;1;108
126;5221;104;0;109
127;6561;105;1;110
128;5780;106;0;111
129;6878;107;0;112
130;5176;108;0;113
131;5327;109;0;114
132;6166;110;1;115
133;7654;111;1;116
134;8006;112;1;117
135;5010;113;0;118
136;6274;114;1;119
137;4034;115;10;120
138;6550;116;1;121
139;6190;117;1;122
140;7008;118;1;123
141;7610;119;1;124
142;5882;120;0;125
143;6289;121;1;126
144;6879;122;0;127
145;6771;123;1;128
146;593;124;12;129
147;323;125;13;130
148;8185;126;16;131
149;6211;127;1;132
150;5904;128;0;133
151;7514;129;1;134
152;450;130;16;135
153;1799;130;15;136
154;5218;131;0;137
155;309;132;13;138
156;310;133;13;139
157;5613;134;10;140
158;4143;135;10;141
159;997;136;3;142
160;1177;136;7;143
161;7975;137;1;144
162;4669;138;10;145
163;3878;139;10;146
164;4754;140;10;147
165;8134;141;16;148
166;1050;142;3;149
167;1515;143;15;150
168;5142;144;0;151
169;5143;144;0;151
170;5144;144;0;151
171;3674;145;9;152
172;7654;146;1;153
173;5738;147;0;154
174;6649;148;1;155
175;7318;149;1;156
176;6562;150;1;157
177;4093;151;10;158
178;5294;152;0;159
179;2240;153;8;160
180;7167;153;1;161
181;3506;154;8;162
182;4086;155;10;163
183;1996;156;8;164
184;3702;157;9;165
185;2996;158;13;166
186;2268;159;8;167
187;6701;160;1;168
188;2899;161;8;169
189;5270;162;0;170
190;2672;163;6;171
191;2975;164;13;172
192;4010;165;10;173
193;8191;166;16;174
194;1857;167;15;175
195;3954;168;10;176
196;429;169;16;177
197;2549;169;6;178
198;2592;169;6;178
199;4023;169;10;179
200;3939;170;10;180
201;5734;171;0;181
202;2967;172;13;182
203;7111;173;1;183
204;8161;174;16;184
205;6452;175;1;185
206;6899;176;0;186
207;6033;177;1;187
208;6637;178;1;188
209;6882;179;0;189
210;7058;180;0;190
211;8215;181;16;191
212;5048;182;0;192
213;91;183;3;193
214;342;184;13;194
215;347;185;13;195
216;1815;186;15;196
217;4141;187;10;197
218;7514;188;1;198
219;2242;189;8;199
220;3313;190;9;200
221;4152;191;10;201
222;8189;192;16;202
223;5110;193;0;203
224;3720;194;10;204
225;3984;195;10;205
226;4477;196;6;206
227;3676;197;9;207
228;3859;197;10;208
229;4123;197;10;208
230;4867;198;10;209
231;2688;199;6;210
232;4795;200;10;211
233;329;201;13;212
234;1664;202;15;213
235;892;203;3;214
236;875;204;3;215
237;1108;205;7;216
238;1644;206;15;217
239;923;207;3;218
240;1182;208;7;219
241;1109;209;7;220
242;1118;212;7;221
243;1179;210;7;222
244;1008;211;3;223
245;1150;213;7;224
246;1002;214;3;225
247;922;215;3;226
248;909;216;3;227
249;1161;217;7;228
250;1510;218;15;229
251;1198;219;7;230
252;1528;220;7;231
253;1039;221;7;232
254;998;222;3;233
255;1033;224;7;234
256;1038;223;7;235
257;950;225;3;236
258;1025;226;7;237
259;913;227;3;238
260;1172;228;7;239
261;957;229;3;240
262;5328;233;0;241
263;910;234;3;242
264;5591;235;10;243
265;2972;236;13;244
266;171;238;3;245
267;4785;237;10;246
268;5015;237;0;247
269;5182;237;0;247
270;6259;237;1;248
271;7098;237;1;248
272;1148;239;7;249
